Track Name,Artist,Album,Image URL,Spotify URL,Context URI
Canın Sağ Olsun,Semicenk,Canın Sağ Olsun,https://i.scdn.co/image/ab67616d0000b2737c4b5fa9b2ce976aba839e86,https://open.spotify.com/track/0mYqW8vhiw9rgwSwB21JQz,spotify:album:6fpX97EwxmnNGNYeBneybh
Basit Numaralar,Zerrin Özer,Basit Numaralar,https://i.scdn.co/image/ab67616d0000b273b270da567d5ec6bdbf2a5e32,https://open.spotify.com/track/30DEgnb76AxLZgrrvqNErB,spotify:album:2LvXYoKhhnYvGJsyBKIjWA
Tiryakinim,Bayhan,Tiryakinim,https://i.scdn.co/image/ab67616d0000b2736e65aa4e9af77b3314a699fa,https://open.spotify.com/track/5NEqpPrKdN5kkn66GPO5z1,spotify:album:5RBSDuy54EfefItjc5Mfcl
Anılara Dalarız,Ebru Yaşar,Anılara Dalarız,https://i.scdn.co/image/ab67616d0000b2730df40028641d4992135ce848,https://open.spotify.com/track/0Rjq84ntnHd3olOXHPacVr,spotify:album:4LXEyR5YIqDAhA1sB7y4QP
Durma Yürüsene,Melike Şahin,Durma Yürüsene,https://i.scdn.co/image/ab67616d0000b2734c377d3d434c36b3e8e4ce71,https://open.spotify.com/track/7DVu7wGni4DHx9P8L1zbIO,spotify:album:08x2uyRPSt4x3UYwKUuKJc
Sen Bilmezsin,Dedublüman,Sen Bilmezsin,https://i.scdn.co/image/ab67616d0000b273b428d70d3d9e11a61101b10d,https://open.spotify.com/track/5VykLQtjCYF6qFq59HbUg9,spotify:album:5a3y1scYJAt1OALSshX5kp
Dayanamıyorum,Kerim Araz,Dayanamıyorum,https://i.scdn.co/image/ab67616d0000b273d4c73a3ec9f30cbaa9e3f5eb,https://open.spotify.com/track/1iv9A5Rvjff0T5I9pcJJpL,spotify:album:4h7y7eDbVmD5wLoy7hCNeh
Yakışıklı,KÖFN,Yakışıklı,https://i.scdn.co/image/ab67616d0000b27334faeb714d6b7ef035611b0f,https://open.spotify.com/track/40IbMWcOQ3eTkyYcdFSEjM,spotify:album:67pOirdhu43id4Ck9iYyae
Bir Gün Ol Yerimde,Doğu Swag,Bir Gün Ol Yerimde,https://i.scdn.co/image/ab67616d0000b2737dad70c3c0a9118d66ec4de7,https://open.spotify.com/track/4NYYwPTLIgoyPNG2iu3OrG,spotify:album:2GnkPSkkWAE1tmdHwSLa0b
Söz Verdim,Nahide Babashlı,Söz Verdim,https://i.scdn.co/image/ab67616d0000b27360d84e35a75e0d46b78d95be,https://open.spotify.com/track/272dDDt7GA9ai1adgZJz68,spotify:album:1jNrriyJKJTjmCiNhk339k
Rastgele,Burak Bulut,Rastgele,https://i.scdn.co/image/ab67616d0000b273291d5e97d345c8d2fced69c3,https://open.spotify.com/track/0RAhUWTiBlDeSSRMmL35Aq,spotify:album:45Ti9P9oHIllZ96q94v8s3
Karalaya Karalaya,Kurtuluş Kuş,Karalaya Karalaya,https://i.scdn.co/image/ab67616d0000b2733dfa43360ed440399e62df40,https://open.spotify.com/track/1kf1G9KwAxifjBV5EAjOfO,spotify:album:4CaKLs2oAjQjEsXIMEWrvw
Cano,Burak Bulut,Cano,https://i.scdn.co/image/ab67616d0000b273feeb7f34fcface94442d6b12,https://open.spotify.com/track/0zQ8vXWLqSyBi5bYebveW1,spotify:album:5LIB6TtN0tsvBevHwi3D9l
Sen Kaldın,Semicenk,Geçiyor Zaman,https://i.scdn.co/image/ab67616d0000b273dc4721fefe12a86355da4fed,https://open.spotify.com/track/0VOnehekjQz9cvUwLzmYSQ,spotify:album:0flBR9Gz8N0UXPplEbrP1p
Derinlere İniyorum,Sura İskenderli,Derinlere İniyorum,https://i.scdn.co/image/ab67616d0000b27318956a0dcf4dbdee84b10e06,https://open.spotify.com/track/32mQ2IxhxUut0BALh3wGrL,spotify:album:6Tak8njkaTqlINk0Zs3SBw
Diva Yorgun,Melike Şahin,Diva Yorgun,https://i.scdn.co/image/ab67616d0000b273cdb9e153a6f6417d785a9f85,https://open.spotify.com/track/006oGnrSZevqZTimsD2oh4,spotify:album:1CmMKVtTFW7yG4k6PlfWzQ
Mavişim,İdo Tatlıses,Mavişim,https://i.scdn.co/image/ab67616d0000b273e1840bcc1c633302deb028d4,https://open.spotify.com/track/2MWBgkYfWxyF7t5Yrrs3I4,spotify:album:0xngyJrJkacoVMFuIZlVVo
Şerbetli,Tarkan,Kuantum 51,https://i.scdn.co/image/ab67616d0000b273ba1dcb7c9f4e88e91311a6ab,https://open.spotify.com/track/0tUu5krJnjTs3ebdeHP3uL,spotify:album:7jra0F6rSOJ36HIsTmwFfC
Yansıma,Derya Uluğ,Nefes,https://i.scdn.co/image/ab67616d0000b273b1a820a9007bddc84c7d97f4,https://open.spotify.com/track/4T73JmNNhtkFBzjRfCeMzN,spotify:album:7HJ1EmY24dwXLBZQj1UrLS
Dön Hadi,Alişan,Dön Hadi,https://i.scdn.co/image/ab67616d0000b273965c1dd9b50ff70b0bfab77f,https://open.spotify.com/track/0AmmgEGKTWenTt14e4B7PV,spotify:album:6CUoTpEDqi5vySd2H7sraa
Elini Ver,Amo988,Elini Ver,https://i.scdn.co/image/ab67616d0000b273e755d5eeb55f214aaf3a37bd,https://open.spotify.com/track/4wwZyKI0OtpRfHmpxv6JdR,spotify:album:5r0s3anoC7C85G0NvcC0yN
Enercii,Dilan Polat,Enercii,https://i.scdn.co/image/ab67616d0000b27304e86ffb3e7614f7fa32fc69,https://open.spotify.com/track/7qE8iioSi00nDiCJmgkewx,spotify:album:7ea45oGg8eEJTHqJQgJYbe
Düldül,Mabel Matiz,Fatih,https://i.scdn.co/image/ab67616d0000b2734868f81271958420add71b28,https://open.spotify.com/track/6kbIemHzAcnM60eHdrUI4u,spotify:album:7eB3zd25eiAwsUMCcLpRCf
Ben Sana Gelemem,Mela Bedel,Ben Sana Gelemem,https://i.scdn.co/image/ab67616d0000b2733e3ac35e4c3cac64613d509f,https://open.spotify.com/track/3gdY5WFt7i6BWVLie3t6hQ,spotify:album:6VotTGGtlSzAuy8q5JCSsV
Sevdam,Bilal Sonses,Sevdam,https://i.scdn.co/image/ab67616d0000b273f3ad8ff46547a4acfdae2ab3,https://open.spotify.com/track/1kxyTI6tIkozvTlLXaa4ER,spotify:album:1dz1wwRN1kFoxNCimPiDm6
Çok Yazık,Çağan Şengül,YANGIN,https://i.scdn.co/image/ab67616d0000b273c264281e7eec0e298c265a46,https://open.spotify.com/track/6NbXYfMZULpf1sGxp8Qx0P,spotify:album:6El74tmpitoS7Z7NoO6xaO
Mahşer,Gökhan Türkmen,Mahşer,https://i.scdn.co/image/ab67616d0000b2736cfb8e324f5853ed6215523c,https://open.spotify.com/track/2RehF0hYbLDGxLTvjL0Xy6,spotify:album:6feh1gWrVrm2mCgHrCUTyN
Papatya,Eda Sakız,Papatya,https://i.scdn.co/image/ab67616d0000b273bc109947262b9ba63b87f9d1,https://open.spotify.com/track/47U5AMz7woJyKLHxS0O2ls,spotify:album:1xN56GvfzfZVJOTJzuUp18
Aşktan Giderken,Mustafa Ceceli,İyi ki Sen Varsın,https://i.scdn.co/image/ab67616d0000b273043c408e39c9f08ff98d49bd,https://open.spotify.com/track/6nlhi29TKN4ibEZT0X1zwT,spotify:album:0y46EDcy6UBHsLKlGtzhgU
